iter	Passed	Remaining
0	137	41202
1	140	20863
2	142	14085
3	144	10689
4	146	8650
5	148	7300
6	150	6286
7	151	5513
8	153	4972
9	156	4526
10	158	4157
11	160	3856
12	162	3597
13	164	3356
14	166	3166
15	168	2997
16	171	2848
17	173	2716
18	175	2595
19	177	2489
20	180	2391
21	182	2305
22	184	2223
23	186	2149
24	189	2082
25	191	2019
26	193	1961
27	196	1906
28	198	1855
29	200	1808
30	203	1762
31	205	1719
32	207	1682
33	210	1645
34	212	1610
35	215	1576
36	217	1544
37	219	1513
38	221	1484
39	224	1456
40	226	1430
41	228	1404
42	231	1381
43	233	1359
44	236	1337
45	238	1315
46	240	1295
47	243	1276
48	245	1256
49	247	1237
50	249	1219
51	251	1201
52	254	1185
53	256	1168
54	258	1153
55	261	1138
56	263	1123
57	265	1109
58	268	1095
59	269	1079
60	272	1067
61	274	1053
62	276	1041
63	279	1029
64	281	1016
65	283	1005
66	285	994
67	288	983
68	290	972
69	292	961
70	294	951
71	297	940
72	299	930
73	300	918
74	303	909
75	305	900
76	307	891
77	309	882
78	311	871
79	312	859
80	314	851
81	316	842
82	319	834
83	321	826
84	323	818
85	325	810
86	327	802
87	330	795
88	332	787
89	334	781
90	337	774
91	339	767
92	341	760
93	343	753
94	346	746
95	348	740
96	350	734
97	353	727
98	354	719
99	356	713
100	357	704
101	359	698
102	362	692
103	364	686
104	366	680
105	368	674
106	370	669
107	373	663
108	375	657
109	377	651
110	379	646
111	381	641
112	393	650
113	395	645
114	398	640
115	400	634
116	402	629
117	404	624
118	407	619
119	409	614
120	411	609
121	414	604
122	416	599
123	418	593
124	420	588
125	423	584
126	425	579
127	427	574
128	430	570
129	432	565
130	433	559
131	435	554
132	437	549
133	440	545
134	442	540
135	444	536
136	446	531
137	449	527
138	451	522
139	454	518
140	456	514
141	458	510
142	460	505
143	463	501
144	465	497
145	468	493
146	470	489
147	472	485
148	474	481
149	476	476
150	478	472
151	480	468
152	483	464
153	485	460
154	487	456
155	489	452
156	492	448
157	493	443
158	496	439
159	498	436
160	501	432
161	503	428
162	505	425
163	508	421
164	509	416
165	512	413
166	514	409
167	516	406
168	519	402
169	521	398
170	523	395
171	524	390
172	527	387
173	529	383
174	531	379
175	534	376
176	536	372
177	539	369
178	540	365
179	542	361
180	544	358
181	547	354
182	549	351
183	552	348
184	555	345
185	558	342
186	561	339
187	564	336
188	566	332
189	568	329
190	571	326
191	573	322
192	576	319
193	578	316
194	580	312
195	583	309
196	585	306
197	587	302
198	590	299
199	592	296
200	594	293
201	597	289
202	599	286
203	601	283
204	604	279
205	606	276
206	608	273
207	611	270
208	613	267
209	615	263
210	618	260
211	620	257
212	623	254
213	625	251
214	628	248
215	630	245
216	632	242
217	635	238
218	637	235
219	639	232
220	641	229
221	643	226
222	646	223
223	647	219
224	650	216
225	651	213
226	653	210
227	655	207
228	658	204
229	660	200
230	662	197
231	665	194
232	667	191
233	669	188
234	671	185
235	674	182
236	676	179
237	678	176
238	681	173
239	683	170
240	685	167
241	687	164
242	690	161
243	692	158
244	694	156
245	697	153
246	699	150
247	701	147
248	703	144
249	706	141
250	708	138
251	710	135
252	713	132
253	715	129
254	717	126
255	720	123
256	722	120
257	725	118
258	727	115
259	730	112
260	732	109
261	735	106
262	737	103
263	740	100
264	741	97
265	743	95
266	746	92
267	748	89
268	750	86
269	753	83
270	755	80
271	757	78
272	760	75
273	762	72
274	764	69
275	767	66
276	769	63
277	772	61
278	774	58
279	776	55
280	779	52
281	781	49
282	783	47
283	786	44
284	788	41
285	790	38
286	793	35
287	795	33
288	798	30
289	800	27
290	802	24
291	805	22
292	807	19
293	809	16
294	812	13
295	814	11
296	816	8
297	819	5
298	821	2
299	823	0
