No,분류,분류,분류,2021년 1분기,2021년 2분기,2021년 3분기,2021년 4분기
No,분류,분류,분류,전환률,전환률,전환률,전환률
No,분류,분류,분류,%,%,%,%
1,전국,전국,전국,7.58,7.55,7.53,7.51
2,서울,서울,서울,8.26,8.25,8.21,8.21
3,서울,도심,도심,7.52,7.51,7.44,7.44
4,서울,도심,광화문,8.04,8.04,8.00,8.00
5,서울,도심,남대문,7.36,7.29,7.21,7.16
6,서울,도심,동대문,7.36,7.36,7.36,7.36
7,서울,도심,명동,7.81,7.79,7.50,7.50
8,서울,도심,시청,7.00,7.00,7.00,7.00
9,서울,도심,을지로,7.90,7.90,7.93,7.93
10,서울,도심,종로,7.83,7.83,7.83,7.83
11,서울,도심,충무로,7.11,7.11,7.11,7.11
12,서울,강남,강남,9.04,9.04,9.01,9.00
13,서울,강남,강남대로,8.92,8.90,8.91,8.91
14,서울,강남,교대역,8.74,8.75,8.74,8.73
15,서울,강남,남부터미널,8.84,8.81,8.79,8.77
16,서울,강남,논현역,8.99,8.99,8.88,8.84
17,서울,강남,도산대로,8.39,8.39,8.36,8.35
18,서울,강남,신사역,9.42,9.40,9.38,9.38
19,서울,강남,테헤란로,9.33,9.33,9.29,9.28
20,서울,여의도마포,여의도마포,7.63,7.60,7.58,7.58
21,서울,여의도마포,공덕역,7.64,7.63,7.64,7.64
22,서울,여의도마포,당산역,7.31,7.21,7.08,7.07
23,서울,여의도마포,여의도,8.00,8.00,8.00,8.00
24,서울,여의도마포,영등포역,7.12,7.10,7.10,7.10
25,서울,기타,기타,8.16,8.15,8.13,8.12
26,서울,기타,목동,7.33,7.33,7.33,7.33
27,서울,기타,사당,8.99,8.98,8.93,8.93
28,서울,기타,숙명여대,8.30,8.20,8.10,8.00
29,서울,기타,용산역,7.80,7.80,7.80,7.80
30,서울,기타,잠실/송파,8.75,8.78,8.76,8.76
31,서울,기타,잠실새내역,9.40,9.41,9.40,9.38
32,서울,기타,장안동,6.12,6.12,6.12,6.12
33,서울,기타,천호,9.10,9.07,9.04,9.04
34,서울,기타,홍대/합정,7.99,7.99,7.99,8.00
35,서울,기타,화곡,7.00,7.00,7.00,7.00
36,부산,부산,부산,7.44,7.40,7.39,7.38
37,부산,남포동,남포동,7.78,7.75,7.60,7.53
38,부산,부산역,부산역,7.40,7.26,7.26,7.26
39,부산,부전시장,부전시장,7.52,7.52,7.52,7.48
40,부산,서면/전포,서면/전포,7.47,7.52,7.52,7.52
41,부산,연산로터리,연산로터리,7.00,7.00,7.00,7.00
42,부산,현대백화점주변,현대백화점주변,7.50,7.40,7.39,7.39
43,대구,대구,대구,6.62,6.61,6.61,6.59
44,대구,동대구,동대구,6.86,6.81,6.81,6.80
45,대구,동성로중심,동성로중심,6.57,6.57,6.57,6.53
46,대구,수성범어,수성범어,7.10,7.10,7.10,7.10
47,인천,인천,인천,6.17,6.17,6.17,6.17
48,인천,구월,구월,6.22,6.22,6.22,6.22
49,인천,부평,부평,6.00,6.00,6.00,6.00
50,인천,주안,주안,6.08,6.08,6.08,6.08
51,광주,광주,광주,6.80,6.80,6.77,6.76
52,광주,금남로/충장로,금남로/충장로,7.00,7.00,7.00,7.00
53,광주,상무지구,상무지구,7.00,7.00,7.00,7.00
54,대전,대전,대전,6.13,6.13,6.12,6.01
55,대전,둔산,둔산,6.42,6.42,6.42,6.41
56,대전,서대전네거리,서대전네거리,6.00,6.00,6.00,5.80
57,대전,원도심,원도심,6.00,6.00,5.97,5.84
58,울산,울산,울산,7.33,7.29,7.26,7.25
59,울산,삼산동,삼산동,7.26,7.23,7.20,7.20
60,울산,신정동,신정동,7.25,7.17,7.14,7.13
61,경기,경기,경기,7.51,7.49,7.48,7.47
62,경기,분당역세권,분당역세권,6.69,6.68,6.66,6.66
63,경기,인계동,인계동,7.00,7.00,7.00,7.00
64,경기,일산라페스타,일산라페스타,12.00,11.88,11.88,11.88
65,경기,평촌범계,평촌범계,7.00,7.00,6.98,6.98
66,강원,강원,강원,6.69,6.69,6.69,6.69
67,충북,충북,충북,6.48,6.25,6.25,6.19
68,충남,충남,충남,8.46,8.35,8.30,8.27
69,전북,전북,전북,7.52,7.51,7.40,7.33
70,전남,전남,전남,6.65,6.65,6.65,6.65
71,경북,경북,경북,6.69,6.69,6.69,6.69
72,경남,경남,경남,6.55,6.32,6.31,6.30
73,제주,제주,제주,9.05,8.95,8.85,8.85
