No,분류,분류,분류,2022년 1분기,2022년 2분기,2022년 3분기,2022년 4분기,2023년 1분기,2023년 2분기,2023년 3분기,2023년 4분기,2024년 1분기,2024년 2분기
No,분류,분류,분류,전환률,전환률,전환률,전환률,전환률,전환률,전환률,전환률,전환률,전환률
No,분류,분류,분류,%,%,%,%,%,%,%,%,%,%
1,전국,전국,전국,7.33,7.34,7.34,7.35,7.35,7.35,7.36,7.36,7.36,7.36
2,서울,서울,서울,7.87,7.87,7.87,7.88,7.87,7.87,7.87,7.88,7.87,7.87
3,서울,도심,도심,7.38,7.38,7.38,7.42,7.42,7.42,7.42,7.42,7.42,7.42
4,서울,도심,광화문,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92
5,서울,도심,남대문,7.13,7.13,7.13,7.13,7.13,7.13,7.13,7.13,7.13,7.13
6,서울,도심,동대문,7.06,7.06,7.06,7.30,7.30,7.30,7.30,7.30,7.30,7.30
7,서울,도심,명동,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50
8,서울,도심,시청,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50
9,서울,도심,을지로,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95
10,서울,도심,종로,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50
11,서울,도심,충무로,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
12,서울,강남,강남,8.41,8.41,8.40,8.40,8.37,8.37,8.38,8.38,8.37,8.37
13,서울,강남,강남대로,8.84,8.84,8.84,8.84,8.76,8.76,8.79,8.79,8.79,8.79
14,서울,강남,교대역,8.13,8.13,8.13,8.13,8.12,8.12,8.12,8.12,8.12,8.12
15,서울,강남,남부터미널,8.29,8.25,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23
16,서울,강남,논현역,8.40,8.40,8.30,8.32,8.24,8.24,8.24,8.24,8.22,8.22
17,서울,강남,도산대로,8.30,8.29,8.29,8.29,8.27,8.27,8.27,8.27,8.27,8.27
18,서울,강남,신사역,8.50,8.50,8.50,8.50,8.50,8.50,8.50,8.50,8.50,8.50
19,서울,강남,테헤란로,8.48,8.48,8.49,8.48,8.44,8.44,8.44,8.44,8.44,8.44
20,서울,여의도마포,여의도마포,7.55,7.56,7.56,7.56,7.57,7.57,7.57,7.57,7.57,7.57
21,서울,여의도마포,공덕역,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64
22,서울,여의도마포,당산역,6.92,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91
23,서울,여의도마포,여의도,8.00,8.02,8.03,8.03,8.05,8.05,8.05,8.05,8.05,8.05
24,서울,여의도마포,영등포역,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10
25,서울,기타,기타,7.75,7.74,7.74,7.75,7.75,7.76,7.76,7.77,7.77,7.77
26,서울,기타,목동,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
27,서울,기타,사당,8.50,8.50,8.50,8.52,8.57,8.64,8.64,8.65,8.65,8.65
28,서울,기타,숙명여대,7.90,7.80,7.80,7.80,7.80,7.80,7.80,7.80,7.80,7.80
29,서울,기타,용산역,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50
30,서울,기타,잠실/송파,8.30,8.30,8.30,8.30,8.30,8.30,8.30,8.30,8.30,8.30
31,서울,기타,잠실새내역,8.50,8.50,8.50,8.50,8.50,8.50,8.50,8.50,8.50,8.49
32,서울,기타,장안동,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
33,서울,기타,천호,8.37,8.38,8.38,8.38,8.38,8.38,8.38,8.42,8.42,8.41
34,서울,기타,홍대/합정,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71
35,서울,기타,화곡,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
36,부산,부산,부산,7.80,7.80,7.80,7.84,7.84,7.84,7.84,7.85,7.85,7.84
37,부산,남포동,남포동,7.92,7.90,7.90,7.92,7.92,7.92,7.92,7.92,7.92,7.92
38,부산,부산역,부산역,8.00,8.00,8.00,8.00,8.00,8.00,8.00,7.99,7.99,7.99
39,부산,부전시장,부전시장,7.56,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53
40,부산,서면/전포,서면/전포,7.76,7.76,7.76,7.88,7.88,7.88,7.88,7.88,7.88,7.88
41,부산,연산로터리,연산로터리,7.73,7.73,7.74,7.90,7.90,7.90,7.90,7.90,7.90,7.79
42,부산,현대백화점주변,현대백화점주변,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
43,대구,대구,대구,6.58,6.58,6.58,6.58,6.58,6.59,6.59,6.61,6.61,6.61
44,대구,동대구,동대구,6.80,6.80,6.80,6.80,6.80,6.79,6.79,6.79,6.79,6.79
45,대구,동성로중심,동성로중심,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50
46,대구,수성범어,수성범어,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10
47,인천,인천,인천,6.16,6.16,6.17,6.17,6.17,6.17,6.16,6.13,6.12,6.12
48,인천,구월,구월,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20
49,인천,부평,부평,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
50,인천,주안,주안,6.08,6.08,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11
51,광주,광주,광주,6.77,6.77,6.76,6.76,6.76,6.76,6.76,6.77,6.77,6.77
52,광주,금남로/충장로,금남로/충장로,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
53,광주,상무지구,상무지구,7.00,7.00,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98
54,대전,대전,대전,6.04,6.04,6.08,6.08,6.10,6.11,6.16,6.18,6.18,6.26
55,대전,둔산,둔산,6.46,6.46,6.53,6.53,6.53,6.55,6.57,6.60,6.60,6.66
56,대전,서대전네거리,서대전네거리,5.90,5.90,5.96,5.96,5.96,6.04,6.06,6.06,6.06,6.07
57,대전,원도심,원도심,5.84,5.84,5.84,5.84,5.88,5.88,5.95,5.97,5.98,6.11
58,울산,울산,울산,6.60,6.62,6.63,6.69,6.68,6.68,6.68,6.68,6.67,6.67
59,울산,삼산동,삼산동,6.66,6.70,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.68
60,울산,신정동,신정동,6.56,6.59,6.59,6.78,6.78,6.78,6.78,6.76,6.76,6.76
61,경기,경기,경기,7.01,7.01,7.01,7.01,6.99,6.99,6.99,6.99,6.99,6.99
62,경기,분당역세권,분당역세권,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48
63,경기,인계동,인계동,6.80,6.80,6.80,6.80,6.80,6.80,6.80,6.80,6.80,6.80
64,경기,일산라페스타,일산라페스타,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38
65,경기,평촌범계,평촌범계,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.97,6.97,6.97
66,강원,강원,강원,6.65,6.65,6.65,6.65,6.69,6.69,6.69,6.69,6.69,6.69
67,충북,충북,충북,6.08,6.08,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05
68,충남,충남,충남,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71
69,전북,전북,전북,7.16,7.19,7.20,7.20,7.20,7.20,7.19,7.18,7.16,7.16
70,전남,전남,전남,6.60,6.60,6.71,6.71,6.71,6.71,6.71,6.72,6.72,6.72
71,경북,경북,경북,6.68,6.68,6.68,6.68,6.67,6.67,6.67,6.67,6.66,6.66
72,경남,경남,경남,6.55,6.76,6.77,6.77,6.76,6.96,6.97,6.96,6.97,6.96
73,제주,제주,제주,8.81,8.81,8.81,8.81,8.78,8.77,8.75,8.75,8.75,8.75
