No,분류,분류,분류,2021년 1분기,2021년 2분기,2021년 3분기,2021년 4분기
No,분류,분류,분류,임대료,임대료,임대료,임대료
No,분류,분류,분류,천원/㎡,천원/㎡,천원/㎡,천원/㎡
1,전국,전국,전국,17.10,17.11,17.15,17.15
2,서울,서울,서울,22.38,22.36,22.39,22.38
3,서울,도심,도심,28.04,28.03,28.02,27.99
4,서울,도심,광화문,32.71,32.71,32.71,32.64
5,서울,도심,남대문,33.03,33.03,33.00,32.98
6,서울,도심,동대문,12.49,12.55,12.72,12.68
7,서울,도심,명동,21.46,21.39,21.29,21.17
8,서울,도심,시청,23.45,23.44,23.44,23.44
9,서울,도심,을지로,32.76,32.76,32.78,32.78
10,서울,도심,종로,21.94,21.92,21.88,21.83
11,서울,도심,충무로,13.85,13.85,13.85,13.85
12,서울,강남,강남,23.28,23.26,23.27,23.28
13,서울,강남,강남대로,25.56,25.37,25.34,25.35
14,서울,강남,교대역,20.39,20.40,20.41,20.41
15,서울,강남,남부터미널,15.18,15.58,15.67,15.66
16,서울,강남,논현역,22.03,22.03,22.00,22.41
17,서울,강남,도산대로,17.68,17.65,17.67,17.67
18,서울,강남,신사역,20.47,20.46,20.46,20.45
19,서울,강남,테헤란로,23.91,23.91,23.91,23.91
20,서울,여의도마포,여의도마포,18.24,18.19,18.58,18.58
21,서울,여의도마포,공덕역,15.67,15.67,15.67,15.67
22,서울,여의도마포,당산역,14.41,13.16,13.15,13.15
23,서울,여의도마포,여의도,19.77,19.77,20.22,20.21
24,서울,여의도마포,영등포역,12.55,12.54,12.54,12.54
25,서울,기타,기타,13.40,13.40,13.39,13.39
26,서울,기타,목동,12.70,12.71,12.71,12.71
27,서울,기타,사당,20.26,20.26,20.24,20.22
28,서울,기타,숙명여대,16.76,16.75,16.74,16.72
29,서울,기타,용산역,12.42,12.41,12.41,12.40
30,서울,기타,잠실/송파,12.33,12.33,12.32,12.31
31,서울,기타,잠실새내역,19.47,19.48,19.43,19.44
32,서울,기타,장안동,10.43,10.46,10.47,10.56
33,서울,기타,천호,12.03,12.01,12.01,12.02
34,서울,기타,홍대/합정,17.21,17.21,17.20,17.20
35,서울,기타,화곡,7.99,7.98,7.97,7.97
36,부산,부산,부산,7.21,7.20,7.19,7.19
37,부산,남포동,남포동,6.27,6.26,6.23,6.21
38,부산,부산역,부산역,7.03,7.02,7.02,7.15
39,부산,부전시장,부전시장,7.11,7.11,7.12,7.09
40,부산,서면/전포,서면/전포,7.99,8.02,8.02,8.02
41,부산,연산로터리,연산로터리,8.70,8.68,8.64,8.62
42,부산,현대백화점주변,현대백화점주변,6.11,6.06,6.05,6.05
43,대구,대구,대구,7.26,7.25,7.25,7.24
44,대구,동대구,동대구,6.19,6.16,6.16,6.16
45,대구,동성로중심,동성로중심,8.03,8.00,8.00,7.99
46,대구,수성범어,수성범어,7.44,7.43,7.43,7.43
47,인천,인천,인천,8.54,8.28,8.30,8.30
48,인천,구월,구월,9.34,9.32,9.39,9.39
49,인천,부평,부평,9.49,9.31,9.31,9.30
50,인천,주안,주안,5.68,5.66,5.68,5.68
51,광주,광주,광주,5.55,5.55,5.52,5.52
52,광주,금남로/충장로,금남로/충장로,5.78,5.77,5.74,5.74
53,광주,상무지구,상무지구,6.56,6.56,6.56,6.56
54,대전,대전,대전,4.58,4.59,4.58,4.57
55,대전,둔산,둔산,5.19,5.23,5.22,5.22
56,대전,서대전네거리,서대전네거리,3.73,3.73,3.72,3.68
57,대전,원도심,원도심,4.42,4.42,4.42,4.41
58,울산,울산,울산,7.15,7.15,7.13,7.12
59,울산,삼산동,삼산동,7.69,7.69,7.69,7.68
60,울산,신정동,신정동,5.29,5.28,5.26,5.26
61,경기,경기,경기,11.92,11.69,11.75,11.74
62,경기,분당역세권,분당역세권,15.24,15.24,15.22,15.21
63,경기,인계동,인계동,7.66,7.66,7.66,7.66
64,경기,일산라페스타,일산라페스타,13.51,13.50,13.50,13.50
65,경기,평촌범계,평촌범계,10.37,8.45,8.45,8.44
66,강원,강원,강원,6.30,6.30,6.30,6.29
67,충북,충북,충북,3.93,3.89,3.88,3.87
68,충남,충남,충남,6.88,7.25,7.25,7.23
69,전북,전북,전북,4.25,4.25,4.23,4.18
70,전남,전남,전남,4.77,4.77,4.73,4.73
71,경북,경북,경북,6.06,6.05,5.99,5.99
72,경남,경남,경남,5.90,5.80,5.80,5.79
73,제주,제주,제주,4.62,4.60,4.59,4.59
