No,분류,분류,분류,2022년 1분기,2022년 2분기,2022년 3분기,2022년 4분기,2023년 1분기,2023년 2분기,2023년 3분기,2023년 4분기,2024년 1분기,2024년 2분기
No,분류,분류,분류,임대료,임대료,임대료,임대료,임대료,임대료,임대료,임대료,임대료,임대료
No,분류,분류,분류,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡
1,전국,전국,전국,17.26,17.27,17.30,17.32,17.38,17.43,17.49,17.53,17.72,17.90
2,서울,서울,서울,22.50,22.51,22.56,22.61,22.70,22.79,22.88,22.97,23.24,23.51
3,서울,도심,도심,28.34,28.35,28.43,28.46,28.54,28.61,28.66,28.77,29.21,29.62
4,서울,도심,광화문,33.97,34.02,34.25,34.37,34.73,34.92,34.96,35.27,36.04,37.24
5,서울,도심,남대문,32.99,32.99,33.00,33.02,33.07,33.11,33.25,33.35,33.99,34.01
6,서울,도심,동대문,13.58,13.58,13.56,13.59,13.57,13.57,13.60,13.73,13.80,13.82
7,서울,도심,명동,21.99,21.99,22.00,22.00,22.00,22.01,22.01,22.03,22.04,22.08
8,서울,도심,시청,23.55,23.55,23.79,23.79,23.79,23.80,23.86,23.89,24.22,24.59
9,서울,도심,을지로,32.78,32.79,32.81,32.81,32.82,32.88,32.89,32.94,33.45,33.92
10,서울,도심,종로,20.83,20.83,20.84,20.88,20.90,20.92,20.93,20.99,21.08,21.17
11,서울,도심,충무로,13.91,13.91,13.92,13.92,13.95,13.98,14.07,14.23,14.28,14.33
12,서울,강남,강남,23.38,23.40,23.47,23.46,23.57,23.69,23.95,24.07,24.48,24.86
13,서울,강남,강남대로,27.15,27.24,27.41,27.41,27.40,27.40,27.58,27.62,28.36,28.87
14,서울,강남,교대역,21.33,21.52,21.52,21.52,21.57,21.59,21.60,21.60,21.65,21.67
15,서울,강남,남부터미널,15.61,15.60,15.58,15.58,15.60,15.62,15.66,15.70,15.74,15.82
16,서울,강남,논현역,24.52,24.53,24.52,24.53,24.40,24.74,25.15,25.20,25.31,25.69
17,서울,강남,도산대로,17.84,17.87,17.88,17.88,17.90,18.61,18.71,18.84,19.10,19.26
18,서울,강남,신사역,20.28,20.28,20.28,20.27,20.29,20.31,20.33,20.36,20.52,20.94
19,서울,강남,테헤란로,23.61,23.61,23.67,23.66,23.82,23.94,24.25,24.42,24.84,25.25
20,서울,여의도마포,여의도마포,18.60,18.63,18.65,18.65,18.66,18.68,18.71,18.74,18.97,19.21
21,서울,여의도마포,공덕역,15.70,15.73,15.75,15.76,15.78,15.78,15.81,15.82,15.92,15.98
22,서울,여의도마포,당산역,13.40,13.49,13.48,13.48,13.48,13.48,13.50,13.57,13.61,13.70
