시설명,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,요금,이용요금단위,오피스 타입,수용인원,운영시간(월),운영시간(화),운영시간(수),운영시간(목),운영시간(금),운영시간(토),운영시간(일),에어컨,카페_레스토랑,복사_인쇄기,택배발송서비스,도어락,콘센트,팩스,24시 운영,연중무휴,난방기,주차,공용라운지,공용주방,정수기,테라스_루프탑,간단한 다과_음료,개인락커,티비_프로젝터,화이트보드,인터넷_와이파이,샤워시설,창고,최종작성일,건물면적,연면적
(주)파란 인베스트먼트,경기도,부천시,원미동,,39-1 번지,조마루로385번길,92 번,37.50081646,126.7901822,14558,경기도 부천시 조마루로385번길 92,경기도 부천시 원미동 39-1,80000,일,독립오피스,1명 ~ 20명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,2022-11-16,"6,932.74 ㎡","106,779.18 ㎡"
[1인실] 선릉 공유오피스 더공간A,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,352000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[1인실]선릉 공유오피스 더공간B,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50438925,127.0527431,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,440000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[2인] 마이파트너스 강남,서울특별시,강남구,역삼동,,831 번지,강남대로,354 번,37.49464902,127.0297333,6242,서울특별시 강남구 강남대로 354,서울특별시 강남구 역삼동 831,55000,일,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,휴무일,휴무일,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,621.68 ㎡,"12,921.93 ㎡"
[2인실]선릉 공유오피스 더공간(월계약),서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,660000,월,독립오피스,2명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[2인실]선릉 공유오피스 더공간A,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,572000,월,독립오피스,2명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[3인실]선릉 공유오피스 더공간B,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,968000,월,독립오피스,3명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[3인실]선릉 공유오피스 더공간C,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50438925,127.0527431,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,847000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
"[4인,내측] 마이파트너스 삼성",서울특별시,강남구,대치동,,999-6 번지,테헤란로108길,25 번,37.50787767,127.0664812,6175,서울특별시 강남구 테헤란로108길 25,서울특별시 강남구 대치동 999-6,880000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,- ㎡,- ㎡
[5인] 마이파트너스 강남,서울특별시,강남구,역삼동,,831 번지,강남대로,354 번,37.49464902,127.0297333,6242,서울특별시 강남구 강남대로 354,서울특별시 강남구 역삼동 831,110000,일,독립오피스,1명 ~ 5명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,휴무일,휴무일,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,621.68 ㎡,"12,921.93 ㎡"
